catégorie	lemme	relation	catégorie	lemme	compte	IM
VERB	revendiquer	par	NOUN	préfet	1	10.980831041913591
VERB	#	obj	NOUN	03	1	19.42377453776232
VERB	résulter	nsubj	NOUN	identité	2	13.446494614262404
VERB	résulter	de	NOUN	alliance	2	13.980831041913591
VERB	couronner	par	NOUN	bonté	2	17.838812037041162
VERB	traiter	comme	NOUN	événement	1	10.256356391930582
VERB	appeler	nsubj	NOUN	contre-cop	1	13.294491520817353
VERB	appeler	à	NOUN	rupture	1	7.458350971952191
VERB	choisir	au	NOUN	hasard	1	15.723334819621227
VERB	rappeler	obj	NOUN	recrue	1	12.553409818178915
VERB	publier	obj	NOUN	enregistrement	1	9.64241482423766
VERB	rappeler	nsubj	NOUN	directeur	1	7.849181010424709
NOUN	promotion	nmod	NOUN	honte	1	16.42377453776232
NOUN	chahuteur	nmod	NOUN	bagarreur	1	18.42377453776232
VERB	rappeler	à	NOUN	ordre	3	11.81644422401271
VERB	rappeler	dans	NOUN	discours	1	10.490083882810087
VERB	porter	sur	NOUN	bouteille	1	10.48126003242308
VERB	respecter	obj	NOUN	cadre	1	7.646519222570396
VERB	devoir	nsubj	NOUN	travail	2	4.206441567609956
VERB	poursuivre	devant	NOUN	tribunal	1	11.823861695575191
VERB	édifier	sur	NOUN	falaise	1	15.964342919125023
VERB	classer	en	NOUN	zone	1	10.159331937535718
VERB	attaquer	nsubj	NOUN	chantier	1	10.387600925208835
NOUN	chantier	nmod	NOUN	jo	1	10.689064917536482
NOUN	chantier	nmod	NOUN	ouvrier	1	14.616419615704716
VERB	attaquer	en	NOUN	justice	4	11.202187416497516
VERB	asséner	obj	NOUN	correction	1	17.101846442874958
VERB	passer	obj	NOUN	nerf	1	10.79441791768271
NOUN	info	nmod	NOUN	bruxelle	1	14.838812037041164
VERB	asséner	devant	NOUN	collègue	1	14.516883942153802
VERB	taire	nsubj	NOUN	police	1	8.464497032041818
NOUN	décembre	nmod	NOUN	décembre	31	12.06508789286484
VERB	organiser	face	NOUN	projet	1	9.291917577153527
VERB	destiner	à	NOUN	flux	1	12.64241482423766
VERB	relier	à	NOUN	port	1	13.64241482423766
VERB	recevoir	obj	NOUN	prix	3	5.194555154293195
VERB	recevoir	de	NOUN	journalisme	1	14.838812037041164
VERB	contre-courer	de	NOUN	injonction	1	16.42377453776232
VERB	proposer	depuis	NOUN	an	1	7.756662995687292
VERB	solder	obj	NOUN	question	1	11.565793542634747
VERB	œuvrer	nsubj	NOUN	ministre	1	9.55804126691056
VERB	œuvrer	d’	NOUN	côté	1	12.469578227375445
VERB	emporter	obj	NOUN	heure	1	7.974625892386883
NOUN	groupe	nmod	NOUN	renaissance	5	11.758438620577143
VERB	emporter	sur	NOUN	chaîne	1	11.185369798437241
VERB	ulcérer	par	NOUN	rejet	1	15.175847024318735
VERB	promouvoir	obj	NOUN	site	1	7.925922700811202
VERB	promouvoir	nsubj	NOUN	constellation	1	16.838812037041162
VERB	comprendre	obj	NOUN	histoire	1	6.534460715377925
NOUN	podcast	nmod	NOUN	pagaille	1	13.838812037041164
NOUN	podcast	nmod	NOUN	naissance	1	11.751349195790825
VERB	comprendre	à	NOUN	bruit	1	13.668887035598852
NOUN	livre	nmod	NOUN	rive	1	12.42377453776232
VERB	mourir	parmi	NOUN	vivant	1	14.900212581705308
VERB	approprier	obj	NOUN	technologie	1	14.33631169651198
VERB	utiliser	obj	NOUN	intelligence	2	8.802638424487679
VERB	retravailler	obj	NOUN	musique	1	12.779918347987595
VERB	subir	obj	NOUN	procès-bâillon	1	14.516883942153802
VERB	bloquer	obj	NOUN	publication	1	7.3681531629806125
VERB	dissuader	obj	NOUN	journaliste	1	10.98498268518406
VERB	dissuader	de	VERB	faire	1	8.661392499051928
VERB	bâillonner	par	NOUN	justice	1	11.787149917218672
VERB	autoriser	par	NOUN	loi	1	9.578284486817944
VERB	vendre	obj	NOUN	région	1	6.027972666372573
VERB	favoriser	obj	NOUN	tourisme	1	9.900212581705308
VERB	condamner	obj	NOUN	alpe	1	9.968447317457759
VERB	favoriser	nsubj	NOUN	stratégie	1	11.233949978882302
NOUN	ski	nmod	NOUN	houlette	1	17.42377453776232
VERB	peiner	à	VERB	loger	1	13.379380418403866
VERB	vendre	à	NOUN	coup	1	7.738149698035965
VERB	vendre	au	NOUN	lobby	1	14.838812037041164
NOUN	cinéma	nmod	NOUN	cinéma	1	11.709529020096197
NOUN	coup	nmod	NOUN	misérable	1	15.616419615704716
VERB	revenir	avec	NOUN	bâtiment	1	10.299653225933133
VERB	traiter	de	NOUN	logement	1	10.03145711498356
VERB	obtenir	obj	NOUN	régularisation	1	11.493037200199433
VERB	pointer	obj	NOUN	responsabilité	1	11.931921441432646
VERB	laver	obj	NOUN	main	1	11.709529020096197
VERB	laver	obj	NOUN	pratique	1	11.980831041913591
VERB	mobiliser	nsubj	NOUN	travailleur	1	10.31525008098415
VERB	pointer	nsubj	NOUN	travailleur	1	12.578284486817944
NOUN	machine	nmod	NOUN	grève	1	9.025030845824126
NOUN	machine	nmod	NOUN	occupation	1	13.294491520817353
VERB	mobiliser	contre	NOUN	machine	1	12.057452323516504
VERB	inquiéter	nsubj	NOUN	père	2	9.523662474784864
VERB	rompre	avec	NOUN	enseignement	2	13.253849536320008
VERB	inquiéter	de	NOUN	temps	1	7.554951982987321
VERB	inquiéter	de	NOUN	intérêt	2	9.79715288540395
VERB	inquiéter	pour	NOUN	phénomène	2	12.908074699478277
VERB	présente	obj	NOUN	incohérence	1	11.892393077246007
VERB	ouvrir	obj	NOUN	voie	10	10.432819677365327
VERB	présente	nsubj	NOUN	relaxe	1	10.972563425929991
NOUN	conflit	nmod	NOUN	jurisprudence	1	16.101846442874958
VERB	ouvrir	à	NOUN	révolution	1	11.33631169651198
VERB	emporter	d’	NOUN	homme	1	10.535031288864062
VERB	verser	obj	NOUN	subvention	1	9.723334819621227
VERB	refuser	de	VERB	verser	1	9.22778723973381
VERB	verser	selon	NOUN	éducation	1	13.101846442874958
VERB	boire	obj	NOUN	tasse	1	16.253849536320008
VERB	provoquer	obj	NOUN	affolement	1	13.809064693647112
VERB	provoquer	nsubj	NOUN	visite	1	7.852970100037823
VERB	agresser	obj	NOUN	journaliste	1	8.177627763126456
VERB	dormir	nsubj	NOUN	homme	1	8.950068788142904
VERB	sembler	nsubj	NOUN	action	1	6.320486729350298
NOUN	case	nmod	NOUN	prison	1	11.668887035598852
VERB	participer	à	NOUN	expédition	1	11.487136598759749
VERB	participer	suite	NOUN	mort	1	10.553409818178915
VERB	dormir	en	NOUN	prison	1	12.668887035598852
VERB	penser	obj	NOUN	solidarité	1	10.083924534877696
VERB	proposer	obj	NOUN	voyage	1	6.177033939269177
VERB	pouvoir	nsubj	NOUN	interconnexion	1	10.469578227375445
VERB	proposer	nsubj	NOUN	cinéaste	1	8.334986299045413
VERB	amenuiser	nsubj	NOUN	vie	1	11.061830764027079
VERB	sembler	nsubj	NOUN	eau	1	6.629358671412214
VERB	servir	à	VERB	penser	1	10.312638867527612
VERB	accompagner	d’	NOUN	note	1	11.616419615704716
NOUN	meurtre	nmod	NOUN	abord	1	11.12456651937504
VERB	impliquer	dans	NOUN	rixe	1	12.156987997067418
VERB	dérouler	obj	NOUN	méditation	1	13.194955847266439
VERB	interdire	obj	NOUN	rassemblement	2	9.978759691893897
VERB	interdire	nsubj	NOUN	préfet	1	9.395868541192435
VERB	poursuivre	en	NOUN	justice	5	11.524115511384878
NOUN	salle	nmod	NOUN	château	1	10.420959522155266
VERB	soutenir	obj	NOUN	personne	1	5.068423441337507
VERB	documenter	obj	NOUN	défi	1	12.838812037041164
VERB	dénoncer	nsubj	NOUN	rapport	2	6.433936582025955
VERB	donner	nsubj	NOUN	membre	1	7.835059902180056
VERB	donner	de	VERB	soutenir	1	10.516883942153802
VERB	donner	pour	NOUN	mission	1	12.101846442874958
VERB	exiler	en	NOUN	situation	1	10.876880077874683
VERB	recevoir	obj	NOUN	lien	1	6.475407306177642
VERB	regarder	obj	NOUN	film	1	6.876639005931455
VERB	avoir	obj	NOUN	opinion	1	5.81968467629314
VERB	éteindre	nsubj	NOUN	flamme	2	11.79441791768271
VERB	verser	obj	NOUN	million	5	8.506104103400558
VERB	financer	obj	NOUN	construction	1	9.581424194348513
VERB	engager	nsubj	NOUN	couple	2	9.525929081756809
VERB	engager	à	VERB	verser	1	10.166386695069669
VERB	lâcher	obj	NOUN	gratte	1	17.42377453776232
VERB	avoir	obj	NOUN	lieu	68	8.618386286591317
VERB	lâcher	nsubj	NOUN	joule	1	16.42377453776232
VERB	avoir	nsubj	NOUN	cérémonie	1	4.900886552178132
VERB	lâcher	avant	NOUN	anniversaire	1	14.42377453776232
VERB	armer	de	NOUN	gouaille	1	18.42377453776232
VERB	mener	obj	NOUN	action	4	7.539127015825638
VERB	dénoncer	obj	NOUN	business	1	7.363078606074766
NOUN	eau	nmod	NOUN	semaine	1	6.591477859012435
NOUN	novembre	nmod	NOUN	novembre	15	12.277418007458412
NOUN	novembre	nmod	NOUN	militant	1	8.441493933204038
VERB	mener	devant	NOUN	usine	1	13.723334819621227
VERB	mourir	nsubj	NOUN	sein	1	6.590093789107578
VERB	cesser	nsubj	NOUN	cœur	1	9.114298183921214
VERB	cesser	à	NOUN	endroit	1	13.616419615704716
VERB	publier	obj	NOUN	illusion	1	10.64241482423766
VERB	opérer	nsubj	NOUN	normalisation	1	16.101846442874958
VERB	détailler	nsubj	NOUN	livre	1	8.177033939269176
NOUN	édition	nmod	NOUN	raison	1	9.231481723291553
VERB	opérer	par	NOUN	redéfinition	1	16.101846442874958
VERB	publier	à	NOUN	édition	1	10.291917577153527
NOUN	dérive	nmod	NOUN	détournement	1	14.33631169651198
NOUN	kickboxing	nmod	NOUN	agression	1	11.590884523597579
NOUN	kickboxing	nmod	NOUN	lien	1	12.175847024318735
NOUN	fédération	nmod	NOUN	-	4	6.201206016939429
NOUN	fédération	nmod	NOUN	boxing	1	16.616419615704714
VERB	peser	sur	NOUN	fédération	1	9.64241482423766
VERB	attaquer	obj	NOUN	conférence	1	10.010146608738147
VERB	faire	obj	NOUN	blessé	7	6.70814955062929
VERB	déchaîner	nsubj	NOUN	nervi	1	14.838812037041164
VERB	attaquer	nsubj	NOUN	cinquantaine	1	11.346958940711488
VERB	faire	nsubj	NOUN	intrusion	1	11.284223185363526
VERB	aboutir	à	NOUN	interpellation	1	12.092857659647702
VERB	reléguer	au	NOUN	plan	1	11.900212581705308
VERB	imposer	obj	NOUN	vaccin	1	10.709529020096197
VERB	vacciner	obj	NOUN	femme	1	11.143003767631717
VERB	protéger	obj	NOUN	bébé	1	9.44078096306801
VERB	venir	à	VERB	demander	1	8.073940446305073
VERB	motiver	par	NOUN	ennui	1	16.616419615704714
VERB	rester	obj	NOUN	gouvernement	1	6.121992575711214
VERB	compter	nsubj	NOUN	séisme	1	11.147650132488081
VERB	rester	nsubj	NOUN	défi	1	8.110891582477965
NOUN	séisme	nmod	NOUN	mois	1	10.299653225933133
VERB	rester	après	NOUN	catastrophe	1	13.997509783060222
VERB	publier	obj	NOUN	plan	1	6.118852868180647
VERB	attaquer	nsubj	NOUN	algue	1	13.931921441432646
VERB	publier	nsubj	NOUN	pouvoir	1	5.357517132410066
NOUN	marge	nmod	NOUN	fautif	1	19.42377453776232
VERB	publier	malgré	NOUN	alerte	1	12.26390320098393
VERB	punir	à	NOUN	marge	1	13.516883942153802
VERB	adouber	par	NOUN	république	1	12.869185686084682
VERB	défiler	dans	NOUN	indifférence	1	16.838812037041162
NOUN	immeuble	nmod	NOUN	population	1	13.253849536320008
VERB	continuer	de	VERB	hanter	1	10.835059902180056
VERB	vivre	obj	NOUN	mise	1	7.602797845141079
VERB	parler	d’	NOUN	manière	1	11.730287580262994
VERB	bombarder	obj	NOUN	hôpital	1	11.26390320098393
VERB	appeler	nsubj	NOUN	médecin	2	7.818758089850956
VERB	appeler	à	VERB	bombarder	1	8.712107564197973
VERB	inquiéter	obj	NOUN	marche	1	9.723334819621227
NOUN	terre	nmod	NOUN	illusion	1	13.42377453776232
NOUN	illusion	nmod	NOUN	tension	1	12.616419615704716
NOUN	-	nmod	NOUN	sorcier	1	11.931921441432646
VERB	inquiéter	avec	NOUN	dimanche	1	9.878810104973082
VERB	annuler	obj	NOUN	dissolution	1	11.578284486817944
VERB	juger	obj	NOUN	mesure	1	7.075876393166307
VERB	annuler	nsubj	NOUN	conseil	1	7.560362578820682
VERB	confirmer	nsubj	NOUN	juge	1	8.231481723291553
